Year,Region,Race or Ethnicity,Sex,Age Group,Opioid Poisoning Deaths
2007,ROS,Hispanic,M,55-64,1
2007,ROS,Hispanic,M,35-44,4
2007,ROS,Hispanic,M,20-24,5
2007,ROS,Hispanic,M,45-54,5
2007,ROS,Hispanic,M,25-34,7
2007,ROS,Hispanic,M,Total,23
2007,ROS,Not Stated,F,19-Oct,0
2007,ROS,Not Stated,F,20-24,0
2007,ROS,Not Stated,F,25-34,0
2007,ROS,Not Stated,F,35-44,0
2007,ROS,Not Stated,F,45-54,0
2007,ROS,Not Stated,F,55-64,0
2007,ROS,Not Stated,F,65-74,0
2007,ROS,Not Stated,F,75-84,0
2007,ROS,Not Stated,F,85+,0
2007,ROS,Not Stated,F,<1,0
2007,ROS,Not Stated,F,Total,0
2007,ROS,Not Stated,M,9-Jan,0
2007,ROS,Not Stated,M,19-Oct,0
2007,ROS,Not Stated,M,20-24,0
2007,ROS,Not Stated,M,25-34,0
2007,ROS,Not Stated,M,35-44,0
2007,ROS,Not Stated,M,45-54,0
2007,ROS,Not Stated,M,55-64,0
2007,ROS,Not Stated,M,65-74,0
2007,ROS,Not Stated,M,75-84,0
2007,ROS,Not Stated,M,85+,0
2007,ROS,Not Stated,M,<1,0
2007,ROS,Not Stated,M,Total,0
2007,ROS,Other Non Hispanic,F,9-Jan,0
2007,ROS,Other Non Hispanic,F,19-Oct,0
2007,ROS,Other Non Hispanic,F,20-24,0
2007,ROS,Other Non Hispanic,F,25-34,0
2007,ROS,Other Non Hispanic,F,35-44,0
2007,ROS,Other Non Hispanic,F,45-54,0
2007,ROS,Other Non Hispanic,F,65-74,0
2007,ROS,Other Non Hispanic,F,75-84,0
2007,ROS,Other Non Hispanic,F,85+,0
2007,ROS,Other Non Hispanic,F,<1,0
2007,ROS,Other Non Hispanic,F,55-64,2
2007,ROS,Other Non Hispanic,F,Total,2
2007,ROS,Other Non Hispanic,M,19-Oct,0
2007,ROS,Other Non Hispanic,M,35-44,0
2007,ROS,Other Non Hispanic,M,45-54,0
2007,ROS,Other Non Hispanic,M,55-64,0
2007,ROS,Other Non Hispanic,M,65-74,0
2007,ROS,Other Non Hispanic,M,75-84,0
2007,ROS,Other Non Hispanic,M,85+,0
2007,ROS,Other Non Hispanic,M,<1,0
2007,ROS,Other Non Hispanic,M,20-24,1
2007,ROS,Other Non Hispanic,M,25-34,2
2007,ROS,Other Non Hispanic,M,Total,3
2007,ROS,White Non Hispanic,F,9-Jan,0
2007,ROS,White Non Hispanic,F,<1,0
2007,ROS,White Non Hispanic,F,19-Oct,2
2007,ROS,White Non Hispanic,F,65-74,2
2007,ROS,White Non Hispanic,F,75-84,2
2007,ROS,White Non Hispanic,F,85+,2
2007,ROS,White Non Hispanic,F,20-24,3
2007,ROS,White Non Hispanic,F,25-34,20
2007,ROS,White Non Hispanic,F,55-64,25
2007,ROS,White Non Hispanic,F,35-44,45
2007,ROS,White Non Hispanic,F,45-54,62
2007,ROS,White Non Hispanic,F,Total,163
2007,ROS,White Non Hispanic,M,9-Jan,0
2007,ROS,White Non Hispanic,M,65-74,0
2007,ROS,White Non Hispanic,M,75-84,0
2007,ROS,White Non Hispanic,M,<1,0
2007,ROS,White Non Hispanic,M,85+,2
2007,ROS,White Non Hispanic,M,19-Oct,8
2007,ROS,White Non Hispanic,M,55-64,31
2007,ROS,White Non Hispanic,M,20-24,37
2007,ROS,White Non Hispanic,M,35-44,83
2007,ROS,White Non Hispanic,M,45-54,85
2007,ROS,White Non Hispanic,M,25-34,90
2007,ROS,White Non Hispanic,M,Total,336
2008,NYC,Black Non Hispanic,F,9-Jan,0
2008,NYC,Black Non Hispanic,F,19-Oct,0
2008,NYC,Black Non Hispanic,F,25-34,0
2008,NYC,Black Non Hispanic,F,65-74,0
2008,NYC,Black Non Hispanic,F,75-84,0
2008,NYC,Black Non Hispanic,F,85+,0
2008,NYC,Black Non Hispanic,F,<1,0
2008,NYC,Black Non Hispanic,F,20-24,1
2008,NYC,Black Non Hispanic,F,55-64,2
2008,NYC,Black Non Hispanic,F,35-44,6
2008,NYC,Black Non Hispanic,F,45-54,14
2008,NYC,Black Non Hispanic,F,Total,23
2008,NYC,Black Non Hispanic,M,9-Jan,0
2008,NYC,Black Non Hispanic,M,25-34,0
2008,NYC,Black Non Hispanic,M,65-74,0
2008,NYC,Black Non Hispanic,M,75-84,0
2008,NYC,Black Non Hispanic,M,85+,0
2008,NYC,Black Non Hispanic,M,<1,0
2008,NYC,Black Non Hispanic,M,20-24,1
2008,NYC,Black Non Hispanic,M,19-Oct,2
2008,NYC,Black Non Hispanic,M,35-44,4
2008,NYC,Black Non Hispanic,M,55-64,12
2008,NYC,Black Non Hispanic,M,45-54,26
2008,NYC,Black Non Hispanic,M,Total,45
2008,NYC,Hispanic,F,75-84,0
2008,NYC,Hispanic,F,85+,0
2008,NYC,Hispanic,F,<1,0
2008,NYC,Hispanic,F,9-Jan,1
2008,NYC,Hispanic,F,19-Oct,1
2008,NYC,Hispanic,F,20-24,1
2008,NYC,Hispanic,F,25-34,1
2008,NYC,Hispanic,F,65-74,1
2008,NYC,Hispanic,F,55-64,4
2008,NYC,Hispanic,F,35-44,8
2008,NYC,Hispanic,F,45-54,9
2008,NYC,Hispanic,F,Total,26
2008,NYC,Hispanic,M,9-Jan,0
2008,NYC,Hispanic,M,75-84,0
2008,NYC,Hispanic,M,85+,0
2008,NYC,Hispanic,M,<1,0
2008,NYC,Hispanic,M,65-74,1
2008,NYC,Hispanic,M,19-Oct,3
2008,NYC,Hispanic,M,20-24,4
2008,NYC,Hispanic,M,55-64,15
2008,NYC,Hispanic,M,25-34,23
2008,NYC,Hispanic,M,35-44,37
2008,NYC,Hispanic,M,45-54,43
2008,NYC,Hispanic,M,Total,126
2008,NYC,Not Stated,F,20-24,0
2008,NYC,Not Stated,F,25-34,0
2008,NYC,Not Stated,F,35-44,0
2008,NYC,Not Stated,F,45-54,0
2008,NYC,Not Stated,F,55-64,0
2008,NYC,Not Stated,F,65-74,0
2008,NYC,Not Stated,F,75-84,0
2008,NYC,Not Stated,F,85+,0
2008,NYC,Not Stated,F,<1,0
2008,NYC,Not Stated,F,Total,0
2008,NYC,Not Stated,M,9-Jan,0
2008,NYC,Not Stated,M,19-Oct,0
2008,NYC,Not Stated,M,20-24,0
2008,NYC,Not Stated,M,25-34,0
2008,NYC,Not Stated,M,35-44,0
2008,NYC,Not Stated,M,65-74,0
2008,NYC,Not Stated,M,75-84,0
2008,NYC,Not Stated,M,85+,0
2008,NYC,Not Stated,M,<1,0
2008,NYC,Not Stated,M,45-54,1
2008,NYC,Not Stated,M,55-64,1
2008,NYC,Not Stated,M,Total,2
2008,NYC,Other Non Hispanic,F,9-Jan,0
2008,NYC,Other Non Hispanic,F,19-Oct,0
2008,NYC,Other Non Hispanic,F,25-34,0
2008,NYC,Other Non Hispanic,F,45-54,0
2008,NYC,Other Non Hispanic,F,55-64,0
2008,NYC,Other Non Hispanic,F,65-74,0
2008,NYC,Other Non Hispanic,F,75-84,0
2008,NYC,Other Non Hispanic,F,85+,0
2008,NYC,Other Non Hispanic,F,<1,0
2008,NYC,Other Non Hispanic,F,20-24,1
2008,NYC,Other Non Hispanic,F,35-44,1
2008,NYC,Other Non Hispanic,F,Total,2
2008,NYC,Other Non Hispanic,M,9-Jan,0
2008,NYC,Other Non Hispanic,M,19-Oct,0
2008,NYC,Other Non Hispanic,M,20-24,0
2008,NYC,Other Non Hispanic,M,45-54,0
2008,NYC,Other Non Hispanic,M,55-64,0
2008,NYC,Other Non Hispanic,M,65-74,0
2008,NYC,Other Non Hispanic,M,75-84,0
2008,NYC,Other Non Hispanic,M,85+,0
2008,NYC,Other Non Hispanic,M,<1,0
2008,NYC,Other Non Hispanic,M,25-34,1
2008,NYC,Other Non Hispanic,M,35-44,1
2008,NYC,Other Non Hispanic,M,Total,2
2008,NYC,White Non Hispanic,F,9-Jan,0
2008,NYC,White Non Hispanic,F,19-Oct,0
2008,NYC,White Non Hispanic,F,75-84,0
2008,NYC,White Non Hispanic,F,85+,0
2008,NYC,White Non Hispanic,F,<1,0
2008,NYC,White Non Hispanic,F,20-24,2
2008,NYC,White Non Hispanic,F,65-74,3
2008,NYC,White Non Hispanic,F,25-34,10
2008,NYC,White Non Hispanic,F,55-64,10
2008,NYC,White Non Hispanic,F,35-44,13
2008,NYC,White Non Hispanic,F,45-54,26
2008,NYC,White Non Hispanic,F,Total,64
2008,NYC,White Non Hispanic,M,9-Jan,0
2008,NYC,White Non Hispanic,M,85+,0
2008,NYC,White Non Hispanic,M,<1,0
2008,NYC,White Non Hispanic,M,65-74,1
2008,NYC,White Non Hispanic,M,75-84,1
2008,NYC,White Non Hispanic,M,19-Oct,4
2008,NYC,White Non Hispanic,M,20-24,8
2008,NYC,White Non Hispanic,M,55-64,20
2008,NYC,White Non Hispanic,M,35-44,34
2008,NYC,White Non Hispanic,M,45-54,41
2008,NYC,White Non Hispanic,M,25-34,43
2008,NYC,White Non Hispanic,M,Total,152
2008,ROS,Black Non Hispanic,F,9-Jan,0
2008,ROS,Black Non Hispanic,F,19-Oct,0
2008,ROS,Black Non Hispanic,F,20-24,0
2008,ROS,Black Non Hispanic,F,65-74,0
2008,ROS,Black Non Hispanic,F,75-84,0
2008,ROS,Black Non Hispanic,F,85+,0
2008,ROS,Black Non Hispanic,F,<1,0
2008,ROS,Black Non Hispanic,F,25-34,1
2008,ROS,Black Non Hispanic,F,55-64,1
2008,ROS,Black Non Hispanic,F,45-54,4
2008,ROS,Black Non Hispanic,F,35-44,5
2008,ROS,Black Non Hispanic,F,Total,11
2008,ROS,Black Non Hispanic,M,9-Jan,0
2008,ROS,Black Non Hispanic,M,25-34,0
2008,ROS,Black Non Hispanic,M,85+,0
2008,ROS,Black Non Hispanic,M,<1,0
2008,ROS,Black Non Hispanic,M,65-74,1
2008,ROS,Black Non Hispanic,M,75-84,1
2008,ROS,Black Non Hispanic,M,19-Oct,2
2008,ROS,Black Non Hispanic,M,20-24,2
2008,ROS,Black Non Hispanic,M,55-64,6
2008,ROS,Black Non Hispanic,M,35-44,8
2008,ROS,Black Non Hispanic,M,45-54,8
2008,ROS,Black Non Hispanic,M,Total,28
2008,ROS,Hispanic,F,9-Jan,0
2008,ROS,Hispanic,F,19-Oct,0
2008,ROS,Hispanic,F,55-64,0
2008,ROS,Hispanic,F,65-74,0
2008,ROS,Hispanic,F,75-84,0
2008,ROS,Hispanic,F,85+,0
2008,ROS,Hispanic,F,<1,0
2008,ROS,Hispanic,F,20-24,1
2008,ROS,Hispanic,F,25-34,1
2008,ROS,Hispanic,F,45-54,1
2008,ROS,Hispanic,F,35-44,6
2008,ROS,Hispanic,F,Total,9
2008,ROS,Hispanic,M,9-Jan,0
2008,ROS,Hispanic,M,19-Oct,0
2008,ROS,Hispanic,M,20-24,0
2008,ROS,Hispanic,M,65-74,0
2008,ROS,Hispanic,M,75-84,0
2008,ROS,Hispanic,M,85+,0
2008,ROS,Hispanic,M,<1,0
2008,ROS,Hispanic,M,25-34,2
2008,ROS,Hispanic,M,55-64,4
2008,ROS,Hispanic,M,35-44,6
2008,ROS,Hispanic,M,45-54,6
2008,ROS,Hispanic,M,Total,18
2008,ROS,Not Stated,F,9-Jan,0
2008,ROS,Not Stated,F,19-Oct,0
2008,ROS,Not Stated,F,25-34,0
2008,ROS,Not Stated,F,45-54,0
2008,ROS,Not Stated,F,55-64,0
2008,ROS,Not Stated,F,65-74,0
2008,ROS,Not Stated,F,75-84,0
2008,ROS,Not Stated,F,85+,0
2008,ROS,Not Stated,F,<1,0
2008,ROS,Not Stated,F,35-44,1
2008,ROS,Not Stated,F,Total,1
2008,ROS,Not Stated,M,19-Oct,0
2008,ROS,Not Stated,M,20-24,0
2008,ROS,Not Stated,M,25-34,0
2008,ROS,Not Stated,M,45-54,0
2008,ROS,Not Stated,M,65-74,0
2008,ROS,Not Stated,M,75-84,0
2008,ROS,Not Stated,M,85+,0
2008,ROS,Not Stated,M,<1,0
2008,ROS,Not Stated,M,35-44,1
2008,ROS,Not Stated,M,55-64,1
2008,ROS,Not Stated,M,Total,2
2008,ROS,Other Non Hispanic,F,9-Jan,0
2008,ROS,Other Non Hispanic,F,19-Oct,0
2008,ROS,Other Non Hispanic,F,20-24,0
2008,ROS,Other Non Hispanic,F,25-34,0
2008,ROS,Other Non Hispanic,F,35-44,0
2008,ROS,Other Non Hispanic,F,45-54,0
2008,ROS,Other Non Hispanic,F,55-64,0
2008,ROS,Other Non Hispanic,F,65-74,0
2008,ROS,Other Non Hispanic,F,75-84,0
2008,ROS,Other Non Hispanic,F,85+,0
2008,ROS,Other Non Hispanic,F,<1,0
2008,ROS,Other Non Hispanic,F,Total,0
2008,ROS,Other Non Hispanic,M,9-Jan,0
2008,ROS,Other Non Hispanic,M,19-Oct,0
2008,ROS,Other Non Hispanic,M,35-44,0
2008,ROS,Other Non Hispanic,M,45-54,0
2008,ROS,Other Non Hispanic,M,55-64,0
2008,ROS,Other Non Hispanic,M,65-74,0
2008,ROS,Other Non Hispanic,M,75-84,0
2008,ROS,Other Non Hispanic,M,85+,0
2008,ROS,Other Non Hispanic,M,<1,0
2008,ROS,Other Non Hispanic,M,25-34,1
2008,ROS,Other Non Hispanic,M,20-24,2
2008,ROS,Other Non Hispanic,M,Total,3
2008,ROS,White Non Hispanic,F,<1,0
2008,ROS,White Non Hispanic,F,9-Jan,1
2008,ROS,White Non Hispanic,F,85+,1
2008,ROS,White Non Hispanic,F,75-84,3
2008,ROS,White Non Hispanic,F,65-74,4
2008,ROS,White Non Hispanic,F,20-24,10
2008,ROS,White Non Hispanic,F,19-Oct,11
2008,ROS,White Non Hispanic,F,25-34,22
2008,ROS,White Non Hispanic,F,55-64,30
2008,ROS,White Non Hispanic,F,35-44,47
2008,ROS,White Non Hispanic,F,45-54,78
2008,ROS,White Non Hispanic,F,Total,207
2008,ROS,White Non Hispanic,M,9-Jan,0
2008,ROS,White Non Hispanic,M,75-84,0
2008,ROS,White Non Hispanic,M,<1,0
2008,ROS,White Non Hispanic,M,85+,1
2008,ROS,White Non Hispanic,M,65-74,10
2008,ROS,White Non Hispanic,M,19-Oct,18
2008,ROS,White Non Hispanic,M,20-24,40
2008,ROS,White Non Hispanic,M,55-64,41
2008,ROS,White Non Hispanic,M,35-44,77
2008,ROS,White Non Hispanic,M,25-34,84
2008,ROS,White Non Hispanic,M,45-54,120
2008,ROS,White Non Hispanic,M,Total,391
2009,NYC,Black Non Hispanic,F,19-Oct,0
2009,NYC,Black Non Hispanic,F,25-34,0
2009,NYC,Black Non Hispanic,F,75-84,0
2009,NYC,Black Non Hispanic,F,85+,0
2009,NYC,Black Non Hispanic,F,<1,0
2009,NYC,Black Non Hispanic,F,9-Jan,1
2009,NYC,Black Non Hispanic,F,20-24,1
2009,NYC,Black Non Hispanic,F,65-74,1
2009,NYC,Black Non Hispanic,F,55-64,6
2009,NYC,Black Non Hispanic,F,35-44,7
2009,NYC,Black Non Hispanic,F,45-54,12
2009,NYC,Black Non Hispanic,F,Total,28
2009,NYC,Black Non Hispanic,M,9-Jan,0
2009,NYC,Black Non Hispanic,M,19-Oct,0
2009,NYC,Black Non Hispanic,M,20-24,0
2009,NYC,Black Non Hispanic,M,75-84,0
2009,NYC,Black Non Hispanic,M,85+,0
2009,NYC,Black Non Hispanic,M,<1,0
2009,NYC,Black Non Hispanic,M,65-74,1
2009,NYC,Black Non Hispanic,M,25-34,3
2009,NYC,Black Non Hispanic,M,35-44,9
2009,NYC,Black Non Hispanic,M,45-54,13
2009,NYC,Black Non Hispanic,M,55-64,17
2009,NYC,Black Non Hispanic,M,Total,43
2009,NYC,Hispanic,F,9-Jan,0
2009,NYC,Hispanic,F,19-Oct,0
2009,NYC,Hispanic,F,20-24,0
2009,NYC,Hispanic,F,75-84,0
2009,NYC,Hispanic,F,85+,0
2009,NYC,Hispanic,F,<1,0
2009,NYC,Hispanic,F,65-74,1
2009,NYC,Hispanic,F,55-64,4
2009,NYC,Hispanic,F,25-34,5
2009,NYC,Hispanic,F,35-44,11
2009,NYC,Hispanic,F,45-54,14
2009,NYC,Hispanic,F,Total,35
2009,NYC,Hispanic,M,9-Jan,0
2009,NYC,Hispanic,M,19-Oct,0
2009,NYC,Hispanic,M,75-84,0
2009,NYC,Hispanic,M,85+,0
2009,NYC,Hispanic,M,<1,0
2009,NYC,Hispanic,M,65-74,2
2009,NYC,Hispanic,M,20-24,4
2009,NYC,Hispanic,M,55-64,11
2009,NYC,Hispanic,M,25-34,17
2009,NYC,Hispanic,M,45-54,22
2009,NYC,Hispanic,M,35-44,26
2009,NYC,Hispanic,M,Total,82
2009,NYC,Not Stated,F,9-Jan,0
2009,NYC,Not Stated,F,35-44,0
2009,NYC,Not Stated,F,45-54,0
2009,NYC,Not Stated,F,55-64,0
2009,NYC,Not Stated,F,65-74,0
2009,NYC,Not Stated,F,75-84,0
2009,NYC,Not Stated,F,85+,0
2009,NYC,Not Stated,F,<1,0
2009,NYC,Not Stated,F,Total,0
2009,NYC,Not Stated,M,9-Jan,0
2009,NYC,Not Stated,M,19-Oct,0
2009,NYC,Not Stated,M,20-24,0
2009,NYC,Not Stated,M,35-44,0
2009,NYC,Not Stated,M,55-64,0
2009,NYC,Not Stated,M,65-74,0
2009,NYC,Not Stated,M,75-84,0
2009,NYC,Not Stated,M,85+,0
2009,NYC,Not Stated,M,<1,0
2009,NYC,Not Stated,M,45-54,1
2009,NYC,Not Stated,M,25-34,2
2009,NYC,Not Stated,M,Total,3
2009,NYC,Other Non Hispanic,F,9-Jan,0
2009,NYC,Other Non Hispanic,F,19-Oct,0
2009,NYC,Other Non Hispanic,F,20-24,0
2009,NYC,Other Non Hispanic,F,25-34,0
2009,NYC,Other Non Hispanic,F,35-44,0
2009,NYC,Other Non Hispanic,F,45-54,0
2009,NYC,Other Non Hispanic,F,55-64,0
2009,NYC,Other Non Hispanic,F,65-74,0
2009,NYC,Other Non Hispanic,F,75-84,0
2009,NYC,Other Non Hispanic,F,85+,0
2009,NYC,Other Non Hispanic,F,<1,0
2009,NYC,Other Non Hispanic,F,Total,0
2009,NYC,Other Non Hispanic,M,9-Jan,0
2009,NYC,Other Non Hispanic,M,19-Oct,0
2009,NYC,Other Non Hispanic,M,20-24,0
2009,NYC,Other Non Hispanic,M,25-34,0
2009,NYC,Other Non Hispanic,M,35-44,0
2009,NYC,Other Non Hispanic,M,45-54,0
2009,NYC,Other Non Hispanic,M,55-64,0
2009,NYC,Other Non Hispanic,M,65-74,0
2009,NYC,Other Non Hispanic,M,75-84,0
2009,NYC,Other Non Hispanic,M,85+,0
2009,NYC,Other Non Hispanic,M,<1,0
2009,NYC,Other Non Hispanic,M,Total,0
2009,NYC,White Non Hispanic,F,9-Jan,0
2009,NYC,White Non Hispanic,F,75-84,0
2009,NYC,White Non Hispanic,F,85+,0
2009,NYC,White Non Hispanic,F,<1,0
2009,NYC,White Non Hispanic,F,65-74,1
2009,NYC,White Non Hispanic,F,19-Oct,3
2009,NYC,White Non Hispanic,F,20-24,3
2009,NYC,White Non Hispanic,F,25-34,8
2009,NYC,White Non Hispanic,F,55-64,11
2009,NYC,White Non Hispanic,F,45-54,15
2009,NYC,White Non Hispanic,F,35-44,19
2009,NYC,White Non Hispanic,F,Total,60
2009,NYC,White Non Hispanic,M,9-Jan,0
2009,NYC,White Non Hispanic,M,85+,0
2009,NYC,White Non Hispanic,M,<1,0
2009,NYC,White Non Hispanic,M,65-74,1
2009,NYC,White Non Hispanic,M,75-84,1
2009,NYC,White Non Hispanic,M,19-Oct,2
2009,NYC,White Non Hispanic,M,20-24,8
2009,NYC,White Non Hispanic,M,55-64,24
2009,NYC,White Non Hispanic,M,35-44,31
2009,NYC,White Non Hispanic,M,25-34,32
2009,NYC,White Non Hispanic,M,45-54,53
2009,NYC,White Non Hispanic,M,Total,152
2009,ROS,Black Non Hispanic,F,9-Jan,0
2009,ROS,Black Non Hispanic,F,65-74,0
2009,ROS,Black Non Hispanic,F,75-84,0
2009,ROS,Black Non Hispanic,F,85+,0
2009,ROS,Black Non Hispanic,F,<1,0
2009,ROS,Black Non Hispanic,F,19-Oct,1
2009,ROS,Black Non Hispanic,F,20-24,1
2009,ROS,Black Non Hispanic,F,25-34,1
2009,ROS,Black Non Hispanic,F,55-64,2
2009,ROS,Black Non Hispanic,F,35-44,3
2009,ROS,Black Non Hispanic,F,45-54,4
2009,ROS,Black Non Hispanic,F,Total,12
2009,ROS,Black Non Hispanic,M,9-Jan,0
2009,ROS,Black Non Hispanic,M,19-Oct,0
2009,ROS,Black Non Hispanic,M,20-24,0
2009,ROS,Black Non Hispanic,M,75-84,0
2009,ROS,Black Non Hispanic,M,85+,0
2009,ROS,Black Non Hispanic,M,<1,0
2009,ROS,Black Non Hispanic,M,25-34,1
2009,ROS,Black Non Hispanic,M,65-74,1
2009,ROS,Black Non Hispanic,M,55-64,2
2009,ROS,Black Non Hispanic,M,35-44,4
2009,ROS,Black Non Hispanic,M,45-54,4
2009,ROS,Black Non Hispanic,M,Total,12
2009,ROS,Hispanic,F,20-24,0
2009,ROS,Hispanic,F,65-74,0
2009,ROS,Hispanic,F,75-84,0
2009,ROS,Hispanic,F,85+,0
2009,ROS,Hispanic,F,<1,0
2009,ROS,Hispanic,F,9-Jan,1
2009,ROS,Hispanic,F,19-Oct,1
2009,ROS,Hispanic,F,25-34,1
2009,ROS,Hispanic,F,45-54,1
2009,ROS,Hispanic,F,55-64,2
2009,ROS,Hispanic,F,35-44,4
2009,ROS,Hispanic,F,Total,10
2009,ROS,Hispanic,M,9-Jan,0
2009,ROS,Hispanic,M,19-Oct,0
2009,ROS,Hispanic,M,65-74,0
2009,ROS,Hispanic,M,75-84,0
2009,ROS,Hispanic,M,85+,0
2009,ROS,Hispanic,M,<1,0
2009,ROS,Hispanic,M,20-24,2
2009,ROS,Hispanic,M,55-64,2
2009,ROS,Hispanic,M,45-54,4
2009,ROS,Hispanic,M,35-44,5
2009,ROS,Hispanic,M,25-34,7
2009,ROS,Hispanic,M,Total,20
2009,ROS,Not Stated,F,9-Jan,0
2009,ROS,Not Stated,F,19-Oct,0
2009,ROS,Not Stated,F,20-24,0
2009,ROS,Not Stated,F,25-34,0
2009,ROS,Not Stated,F,35-44,0
2009,ROS,Not Stated,F,45-54,0
2009,ROS,Not Stated,F,55-64,0
2009,ROS,Not Stated,F,65-74,0
2009,ROS,Not Stated,F,75-84,0
2009,ROS,Not Stated,F,85+,0
2009,ROS,Not Stated,F,<1,0
2009,ROS,Not Stated,F,Total,0
2009,ROS,Not Stated,M,9-Jan,0
2009,ROS,Not Stated,M,19-Oct,0
2009,ROS,Not Stated,M,35-44,0
2009,ROS,Not Stated,M,55-64,0
2009,ROS,Not Stated,M,65-74,0
2009,ROS,Not Stated,M,75-84,0
2009,ROS,Not Stated,M,85+,0
2009,ROS,Not Stated,M,<1,0
2009,ROS,Not Stated,M,20-24,1
2009,ROS,Not Stated,M,25-34,1
2009,ROS,Not Stated,M,45-54,1
2009,ROS,Not Stated,M,Total,3
2009,ROS,Other Non Hispanic,F,9-Jan,0
2009,ROS,Other Non Hispanic,F,19-Oct,0
2009,ROS,Other Non Hispanic,F,25-34,0
2009,ROS,Other Non Hispanic,F,35-44,0
2009,ROS,Other Non Hispanic,F,45-54,0
2009,ROS,Other Non Hispanic,F,55-64,0
2009,ROS,Other Non Hispanic,F,65-74,0
2009,ROS,Other Non Hispanic,F,75-84,0
2009,ROS,Other Non Hispanic,F,85+,0
2009,ROS,Other Non Hispanic,F,<1,0
2009,ROS,Other Non Hispanic,F,20-24,1
2009,ROS,Other Non Hispanic,F,Total,1
2009,ROS,Other Non Hispanic,M,9-Jan,0
2009,ROS,Other Non Hispanic,M,25-34,0
2009,ROS,Other Non Hispanic,M,35-44,0
2009,ROS,Other Non Hispanic,M,55-64,0
2009,ROS,Other Non Hispanic,M,65-74,0
2009,ROS,Other Non Hispanic,M,75-84,0
2009,ROS,Other Non Hispanic,M,85+,0
2009,ROS,Other Non Hispanic,M,<1,0
2009,ROS,Other Non Hispanic,M,19-Oct,1
2009,ROS,Other Non Hispanic,M,20-24,1
2009,ROS,Other Non Hispanic,M,45-54,2
2009,ROS,Other Non Hispanic,M,Total,4
2009,ROS,White Non Hispanic,F,9-Jan,0
2009,ROS,White Non Hispanic,F,85+,0
2009,ROS,White Non Hispanic,F,<1,0
2009,ROS,White Non Hispanic,F,75-84,1
2009,ROS,White Non Hispanic,F,19-Oct,4
2009,ROS,White Non Hispanic,F,65-74,5
2009,ROS,White Non Hispanic,F,20-24,15
2009,ROS,White Non Hispanic,F,55-64,23
2009,ROS,White Non Hispanic,F,25-34,29
2009,ROS,White Non Hispanic,F,35-44,37
2009,ROS,White Non Hispanic,F,45-54,73
2009,ROS,White Non Hispanic,F,Total,187
2009,ROS,White Non Hispanic,M,9-Jan,0
2009,ROS,White Non Hispanic,M,<1,0
2009,ROS,White Non Hispanic,M,85+,1
2009,ROS,White Non Hispanic,M,65-74,2
2009,ROS,White Non Hispanic,M,75-84,2
2009,ROS,White Non Hispanic,M,19-Oct,16
2009,ROS,White Non Hispanic,M,55-64,31
2009,ROS,White Non Hispanic,M,20-24,45
2009,ROS,White Non Hispanic,M,25-34,86
2009,ROS,White Non Hispanic,M,35-44,88
2009,ROS,White Non Hispanic,M,45-54,106
2009,ROS,White Non Hispanic,M,Total,377
2010,NYC,Black Non Hispanic,F,9-Jan,0
2010,NYC,Black Non Hispanic,F,20-24,0
2010,NYC,Black Non Hispanic,F,75-84,0
2010,NYC,Black Non Hispanic,F,85+,0
2010,NYC,Black Non Hispanic,F,<1,0
2010,NYC,Black Non Hispanic,F,19-Oct,1
2010,NYC,Black Non Hispanic,F,55-64,2
2010,NYC,Black Non Hispanic,F,65-74,2
2010,NYC,Black Non Hispanic,F,25-34,3
2010,NYC,Black Non Hispanic,F,35-44,4
2010,NYC,Black Non Hispanic,F,45-54,11
2010,NYC,Black Non Hispanic,F,Total,23
2010,NYC,Black Non Hispanic,M,9-Jan,0
2010,NYC,Black Non Hispanic,M,19-Oct,0
2010,NYC,Black Non Hispanic,M,20-24,0
2010,NYC,Black Non Hispanic,M,85+,0
2010,NYC,Black Non Hispanic,M,<1,0
2010,NYC,Black Non Hispanic,M,25-34,1
2010,NYC,Black Non Hispanic,M,75-84,1
2010,NYC,Black Non Hispanic,M,65-74,2
2010,NYC,Black Non Hispanic,M,35-44,4
2010,NYC,Black Non Hispanic,M,55-64,9
2010,NYC,Black Non Hispanic,M,45-54,21
2010,NYC,Black Non Hispanic,M,Total,38
2010,NYC,Hispanic,F,9-Jan,0
2010,NYC,Hispanic,F,20-24,0
2010,NYC,Hispanic,F,75-84,0
2010,NYC,Hispanic,F,85+,0
2010,NYC,Hispanic,F,<1,0
2010,NYC,Hispanic,F,19-Oct,1
2010,NYC,Hispanic,F,65-74,1
2010,NYC,Hispanic,F,25-34,2
2010,NYC,Hispanic,F,55-64,6
2010,NYC,Hispanic,F,35-44,8
2010,NYC,Hispanic,F,45-54,12
2010,NYC,Hispanic,F,Total,30
2010,NYC,Hispanic,M,9-Jan,0
2010,NYC,Hispanic,M,19-Oct,0
2010,NYC,Hispanic,M,75-84,0
2010,NYC,Hispanic,M,85+,0
2010,NYC,Hispanic,M,<1,0
2010,NYC,Hispanic,M,65-74,1
2010,NYC,Hispanic,M,20-24,3
2010,NYC,Hispanic,M,55-64,7
2010,NYC,Hispanic,M,25-34,9
2010,NYC,Hispanic,M,35-44,17
2010,NYC,Hispanic,M,45-54,27
2010,NYC,Hispanic,M,Total,64
2010,NYC,Not Stated,F,9-Jan,0
2010,NYC,Not Stated,F,19-Oct,0
2010,NYC,Not Stated,F,20-24,0
